# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 48K of event 'cycles'
# Event count (approx.): 123776222208
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.09%            44  redis-server     [vdso]            [.] 0x0000000000000861
     0.09%            43  redis-server     [mlx5_core]       [k] 0x0000000000051575
     0.09%            42  redis-server     [mlx5_core]       [k] 0x000000000004ea1c
     0.09%            42  redis-server     redis-server      [.] writeToClient
     0.09%            42  redis-server     [kernel.vmlinux]  [k] skb_release_head_state
     0.09%            42  redis-server     [kernel.vmlinux]  [k] dequeue_task_fair
     0.08%            41  redis-server     [kernel.vmlinux]  [k] __build_skb_around
     0.08%            40  redis-server     [mlx5_core]       [k] 0x000000000004c2c8
     0.08%            40  redis-server     redis-server      [.] je_free
     0.08%            39  redis-server     [kernel.vmlinux]  [k] native_apic_msr_eoi
     0.08%            38  redis-server     redis-server      [.] commandProcessed
     0.08%            37  redis-server     [kernel.vmlinux]  [k] __refill_stock
     0.08%            37  redis-server     [kernel.vmlinux]  [k] tcp_mstamp_refresh
     0.08%            36  redis-server     [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
     0.08%            38  redis-server     [mlx5_core]       [k] 0x000000000004d981
     0.08%            38  redis-server     [kernel.vmlinux]  [k] tcp_recvmsg
     0.08%            34  redis-server     [kernel.vmlinux]  [k] gro_list_prepare
     0.07%            36  redis-server     [kernel.vmlinux]  [k] skb_page_frag_refill
     0.07%            35  redis-server     [kernel.vmlinux]  [k] tcp_wfree
     0.07%            34  redis-server     redis-server      [.] lookupKey
     0.07%            34  redis-server     [kernel.vmlinux]  [k] mutex_unlock
     0.07%            35  redis-server     [kernel.vmlinux]  [k] validate_xmit_skb.constprop.0
     0.07%            34  redis-server     [kernel.vmlinux]  [k] _raw_spin_unlock
     0.07%            35  redis-server     [kernel.vmlinux]  [k] __tcp_select_window
     0.07%            34  redis-server     libc.so.6         [.] __GI___libc_write
     0.07%            34  redis-server     redis-server      [.] _sdsnewlen
     0.07%            32  redis-server     [kernel.vmlinux]  [k] syscall_return_via_sysret
     0.07%            33  redis-server     [kernel.vmlinux]  [k] ksys_read
     0.07%            34  redis-server     [kernel.vmlinux]  [k] prepare_task_switch
     0.07%            32  redis-server     [kernel.vmlinux]  [k] skb_gro_receive
     0.07%            33  redis-server     [kernel.vmlinux]  [k] dequeue_entity
     0.07%            32  redis-server     [mlx5_core]       [k] 0x000000000004ceab
     0.07%            32  redis-server     [kernel.vmlinux]  [k] __sk_mem_reduce_allocated
     0.07%            32  redis-server     [kernel.vmlinux]  [k] dql_completed
     0.07%            33  redis-server     [kernel.vmlinux]  [k] __this_cpu_preempt_check
     0.07%            31  redis-server     [kernel.vmlinux]  [k] __ip_local_out
     0.07%            31  redis-server     [kernel.vmlinux]  [k] mod_find
     0.07%            31  redis-server     [kernel.vmlinux]  [k] ktime_get_ts64
     0.06%            30  redis-server     [kernel.vmlinux]  [k] _raw_spin_unlock_irqrestore
     0.06%            30  redis-server     [kernel.vmlinux]  [k] napi_consume_skb
     0.06%            30  redis-server     [kernel.vmlinux]  [k] fib_table_lookup
     0.06%            31  redis-server     [kernel.vmlinux]  [k] __might_fault
     0.06%            31  redis-server     [kernel.vmlinux]  [k] ip_rcv_finish_core.constprop.0
     0.06%            30  redis-server     [nf_nat]          [k] nf_nat_ipv4_local_fn
     0.06%            29  redis-server     [kernel.vmlinux]  [k] entry_SYSCALL_64_safe_stack
     0.06%            30  redis-server     [kernel.vmlinux]  [k] ip_rcv_core
     0.06%            29  redis-server     [mlx5_core]       [k] 0x000000000004d565
     0.06%            29  redis-server     [kernel.vmlinux]  [k] __do_softirq
     0.06%            28  redis-server     [nf_defrag_ipv4]  [k] ipv4_conntrack_defrag
     0.06%            29  redis-server     [kernel.vmlinux]  [k] netif_receive_skb_list_internal
     0.06%            29  redis-server     [kernel.vmlinux]  [k] schedule_hrtimeout_range_clock
