# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 44K of event 'cycles'
# Event count (approx.): 98282321717
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.14%            61  redis-server     [nf_conntrack]    [k] nf_ct_get_tuple
     0.14%            60  redis-server     [kernel.vmlinux]  [k] __sock_wfree
     0.13%            59  redis-server     [vdso]            [.] 0x0000000000000861
     0.13%            58  redis-server     [kernel.vmlinux]  [k] sch_direct_xmit
     0.13%            58  redis-server     [kernel.vmlinux]  [k] __update_load_avg_cfs_rq
     0.13%            57  redis-server     redis-server      [.] je_free
     0.12%            54  redis-server     [nf_nat]          [k] nf_nat_ipv4_local_in
     0.12%            55  redis-server     [mlx5_core]       [k] is_last_ethertype_ip.constprop.0
     0.12%            55  redis-server     [kernel.vmlinux]  [k] __audit_syscall_entry
     0.12%            55  redis-server     [kernel.vmlinux]  [k] prepare_task_switch
     0.12%            52  redis-server     [mlx5_core]       [k] mlx5e_handle_rx_cqe_mpwrq
     0.12%            55  redis-server     [kernel.vmlinux]  [k] netdev_pick_tx
     0.12%            52  redis-server     [kernel.vmlinux]  [k] __sk_mem_reduce_allocated
     0.12%            52  redis-server     [kernel.vmlinux]  [k] do_syscall_64
     0.12%            50  redis-server     [kernel.vmlinux]  [k] page_counter_uncharge
     0.11%            51  redis-server     redis-server      [.] processInputBuffer
     0.11%            49  redis-server     [kernel.vmlinux]  [k] __build_skb_around
     0.11%            50  redis-server     [kernel.vmlinux]  [k] try_charge_memcg
     0.11%            50  redis-server     [kernel.vmlinux]  [k] tcp_event_data_recv
     0.11%            49  redis-server     [mlx5_core]       [k] mlx5e_page_release_fragmented.isra.0
     0.11%            47  redis-server     [kernel.vmlinux]  [k] __ip_local_out
     0.11%            47  redis-server     redis-server      [.] dictFind
     0.10%            46  redis-server     [kernel.vmlinux]  [k] dequeue_entity
     0.10%            45  redis-server     [kernel.vmlinux]  [k] tcp_stream_memory_free
     0.10%            44  redis-server     redis-server      [.] _sdsnewlen
     0.10%            45  redis-server     [kernel.vmlinux]  [k] mem_cgroup_charge_skmem
     0.10%            45  redis-server     redis-server      [.] call
     0.10%            44  redis-server     [kernel.vmlinux]  [k] _raw_spin_unlock_irqrestore
     0.10%            43  redis-server     [kernel.vmlinux]  [k] __slab_free
     0.10%            42  redis-server     [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
     0.10%            43  redis-server     redis-server      [.] writeToClient
     0.10%            41  redis-server     [kernel.vmlinux]  [k] skb_gro_receive
     0.10%            41  redis-server     [mlx5_core]       [k] mlx5e_build_rx_skb
     0.09%            42  redis-server     [nf_conntrack]    [k] nf_confirm
     0.09%            41  redis-server     [kernel.vmlinux]  [k] rseq_update_cpu_node_id
     0.09%            40  redis-server     [kernel.vmlinux]  [k] tcp_mstamp_refresh
     0.09%            40  redis-server     redis-server      [.] commandProcessed
     0.09%            40  redis-server     [kernel.vmlinux]  [k] _raw_spin_lock_irqsave
     0.09%            41  redis-server     [kernel.vmlinux]  [k] skb_release_head_state
     0.09%            39  redis-server     [kernel.vmlinux]  [k] tcp_recvmsg
     0.09%            41  redis-server     [kernel.vmlinux]  [k] __netif_receive_skb_core.constprop.0
     0.09%            40  redis-server     [kernel.vmlinux]  [k] __sk_mem_raise_allocated
     0.09%            39  redis-server     [kernel.vmlinux]  [k] ip_rcv_core
     0.09%            40  redis-server     [kernel.vmlinux]  [k] _find_next_and_bit
     0.09%            38  redis-server     [kernel.vmlinux]  [k] queued_write_lock_slowpath
     0.09%            39  redis-server     [mlx5_core]       [k] mlx5e_xmit
     0.09%            39  redis-server     libc.so.6         [.] __GI___libc_write
     0.09%            37  redis-server     [kernel.vmlinux]  [k] cgroup_rstat_updated
     0.08%            37  redis-server     [mlx5_core]       [k] mlx5e_tx_mpwqe_session_start
     0.08%            38  redis-server     [kernel.vmlinux]  [k] __might_fault
     0.08%            36  redis-server     [kernel.vmlinux]  [k] _raw_spin_lock_bh
     0.08%            37  redis-server     [kernel.vmlinux]  [k] napi_consume_skb
     0.08%            36  redis-server     [kernel.vmlinux]  [k] dma_direct_map_page
     0.08%            37  redis-server     [kernel.vmlinux]  [k] __skb_clone
     0.08%            36  redis-server     [kernel.vmlinux]  [k] mod_find
     0.08%            34  redis-server     [kernel.vmlinux]  [k] mutex_lock
     0.08%            34  redis-server     [kernel.vmlinux]  [k] select_estimate_accuracy
     0.08%            35  redis-server     [kernel.vmlinux]  [k] tcp4_gro_receive
     0.08%            33  redis-server     [kernel.vmlinux]  [k] entry_SYSCALL_64_safe_stack
     0.08%            33  redis-server     redis-server      [.] beforeSleep
