# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 39K of event 'cycles'
# Event count (approx.): 84431220089
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.09%            37  redis-server     [kernel.vmlinux]  [k] __sk_mem_reduce_allocated
     0.09%            37  redis-server     [kernel.vmlinux]  [k] select_estimate_accuracy
     0.09%            38  redis-server     [kernel.vmlinux]  [k] entry_SYSCALL_64_after_hwframe
     0.09%            38  redis-server     [kernel.vmlinux]  [k] _raw_spin_unlock_irqrestore
     0.09%            36  redis-server     [kernel.vmlinux]  [k] netdev_pick_tx
     0.09%            37  redis-server     redis-server      [.] lookupKey
     0.09%            37  redis-server     [kernel.vmlinux]  [k] __update_load_avg_cfs_rq
     0.09%            36  redis-server     [kernel.vmlinux]  [k] tcp_stream_memory_free
     0.09%            35  redis-server     libc.so.6         [.] __GI___libc_write
     0.09%            36  redis-server     [kernel.vmlinux]  [k] __build_skb_around
     0.09%            36  redis-server     [kernel.vmlinux]  [k] entry_SYSCALL_64_safe_stack
     0.09%            34  redis-server     [kernel.vmlinux]  [k] _raw_spin_lock_bh
     0.09%            37  redis-server     [kernel.vmlinux]  [k] __refill_stock
     0.09%            37  redis-server     [kernel.vmlinux]  [k] napi_consume_skb
     0.09%            35  redis-server     [kernel.vmlinux]  [k] __ip_local_out
     0.09%            34  redis-server     [kernel.vmlinux]  [k] __slab_free
     0.09%            34  redis-server     [mlx5_core]       [k] 0x0000000000051575
     0.09%            35  redis-server     [kernel.vmlinux]  [k] cgroup_rstat_updated
     0.09%            33  redis-server     [kernel.vmlinux]  [k] _raw_spin_lock_irqsave
     0.08%            33  redis-server     [mlx5_core]       [k] 0x000000000004ea1c
     0.08%            32  redis-server     [kernel.vmlinux]  [k] page_counter_try_charge
     0.08%            33  redis-server     [kernel.vmlinux]  [k] tcp_write_xmit
     0.08%            33  redis-server     [kernel.vmlinux]  [k] do_epoll_wait
     0.08%            33  redis-server     [kernel.vmlinux]  [k] tcp_mstamp_refresh
     0.08%            32  redis-server     [kernel.vmlinux]  [k] napi_skb_cache_get
     0.08%            30  redis-server     [kernel.vmlinux]  [k] ip_sublist_rcv
     0.07%            30  redis-server     [nf_conntrack]    [k] hash_conntrack_raw
     0.07%            29  redis-server     [kernel.vmlinux]  [k] fib_table_lookup
     0.07%            30  redis-server     [nf_nat]          [k] nf_nat_ipv4_local_fn
     0.07%            28  redis-server     redis-server      [.] sdsIncrLen
     0.07%            30  redis-server     redis-server      [.] processCommand
     0.07%            29  redis-server     [kernel.vmlinux]  [k] mutex_lock
     0.07%            29  redis-server     [kernel.vmlinux]  [k] release_sock
     0.07%            29  redis-server     [mlx5_core]       [k] 0x000000000000ca34
     0.07%            28  redis-server     [kernel.vmlinux]  [k] _raw_spin_unlock
     0.07%            28  redis-server     [kernel.vmlinux]  [k] tcp_recvmsg
     0.07%            28  redis-server     redis-server      [.] writeToClient
     0.07%            28  redis-server     [kernel.vmlinux]  [k] __skb_clone
